"ArticleUrl";"Type";"Title";"Intro";"Heading";"PublishDate";"Style";"IsPlus";"filename"
"https://www.spiegel.de/politik/deutschland/sterbehilfe-urteil-der-staat-muss-einen-wuerdevollen-suizid-ermoeglichen-leitartikel-a-00000000-0002-0001-0000-000169705015";"opinion";"Der Staat muss einen würdevollen Suizid ermöglichen";"Das Urteil des Bundesverfassungsgerichts zur Sterbehilfe ist eine Zumutung. Und die war notwendig. Lesen Sie hier den SPIEGEL-Leitartikel.";"Urteil zur Sterbehilfe";"2020-02-28 17:00:00";"default";TRUE;"no443_opinion_plus_2020-02-28H17-00-00.png"
"https://www.spiegel.de/panorama/justiz/fall-walter-luebcke-warum-feiern-rentner-einen-mordanschlag-auf-facebook-a-00000000-0002-0001-0000-000171773534";"news";"Wer sind die Menschen, die den Lübcke-Mord auf Facebook feiern?";"Nach dem Anschlag auf Walter Lübcke applaudierten mehrere Hundert Hetzer dem Täter anonym im Netz. 60 von ihnen konnte die Polizei identifizieren. Die ersten stehen jetzt vor Gericht.";"Wegen Hetze vor Gericht";"2020-06-26 16:00:00";"default";TRUE;"no444_news_plus_2020-06-26H16-00-00.png"
"https://www.spiegel.de/familie/schwangerschaft-als-schuelerin-schwanger-ein-grund-zur-freude-a-6dba8741-6bac-4b55-950f-bd3a01f9ff04";"opinion";"Als Schülerin schwanger - ein Grund zur Freude?";"Ich ging noch zur Schule und freute mich auf mein erstes Kind - aber kaum jemand freute sich mit mir. Irgendwann fragte ich mich selbst: Kann ich so jung überhaupt eine gute Mutter sein?";"Elternkolumne";"2020-05-28 22:25:40";"default";TRUE;"no445_opinion_plus_2020-05-28H22-25-40.png"
"https://www.spiegel.de/kultur/musik/gangsta-rap-aus-deutschland-sex-protz-und-dicke-schlitten-a-00000000-0002-0001-0000-000169122915";"news";"Lebe fett, gierig und rücksichtslos";"Mit Waffengeprotze und frauenverachtenden Texten dominieren deutsche Gangsta-Rapper wie Gzuz, RAF Camora und Capital Bra die Charts. Was findet die Generation Greta daran? Lesen Sie hier die SPIEGEL-Titelstory.";"Faszination Gangsta-Rap";"2020-01-24 17:00:00";"default";TRUE;"no446_news_plus_2020-01-24H17-00-00.png"
"https://www.spiegel.de/netzwelt/stiftung-warentest-ueber-bluetooth-kopfhoerer-ein-geraet-hat-sehr-gut-a-5a341431-c229-4640-888c-de57ca7245df";"news";"\"\"Ein Gerät hat 'sehr gut', ein äußerst seltenes Ergebnis\"\"";"Viele Bluetooth-Kopfhörer liefern gute Klangqualität, sagt Peter Knaak von der Stiftung Warentest. Worauf Sie beim Kauf achten sollten.";"Verbraucherschützer über Bluetooth-Kopfhörer";"2020-04-30 14:07:29";"default";TRUE;"no447_news_plus_2020-04-30H14-07-29.png"
"https://www.spiegel.de/gesundheit/herbert-loellgen-dieser-arzt-zeigt-wie-sie-mit-bewegung-ihren-koerper-verjuengen-a-0f1a487d-addb-4d09-9570-009d71d2c6dd";"news";"So verjüngen Sie Ihren Körper";"Der Kardiologe und Internist Herbert Löllgen verschreibt seinen Patienten lieber Sport als Medikamente. Wissenschaftliche Studien belegen die enorme Wirkung.";"Hilfe bei Rückenschmerz, Depression, Altersdiabetes";"2020-01-20 14:16:00";"default";TRUE;"no448_news_plus_2020-01-20H14-16-00.png"
"https://www.spiegel.de/politik/deutschland/bodo-ramelow-nach-ministerpraesidentenwahl-in-thueringen-alle-haben-geheult-a-07e500d3-dd62-4e55-b475-ee292fe70417";"news";"\"\"Alle haben geheult\"\"";"Der frühere thüringische Ministerpräsident Bodo Ramelow schildert, wie er die dramatischen Momente seiner Abwahl erlebte und unter welchen Voraussetzungen er wieder antreten will.";"Bodo Ramelow nach dem Schock in Thüringen";"2020-02-06 14:36:00";"default";TRUE;"no449_news_plus_2020-02-06H14-36-00.png"
"https://www.spiegel.de/panorama/justiz/rosenheim-prozess-gegen-polizisten-die-den-hitlergruss-gezeigt-haben-sollen-a-00000000-0002-0001-0000-000171875105";"news";"Was ist dran an den Rassismusvorwürfen gegen Rosenheimer Polizisten?";"Zwei Polizisten sollen Schwarze geschmäht und den Hitlergruß gezeigt haben. Das Verfahren am Amtsgericht Rosenheim fällt in die Zeit einer großen Debatte.";"Prozess in Bayern";"2020-07-06 22:01:00";"default";TRUE;"no450_news_plus_2020-07-06H22-01-00.png"
"https://www.spiegel.de/gesundheit/schwangerschaft/hyperaktivitaet-hat-mein-kind-schlafstoerungen-oder-adhs-a-2d1d10b6-f069-4bdb-88f2-0ead35a46189";"highlight";"Hat mein Kind Schlafstörungen - oder ADHS?";"Kinder reagieren auf Schlafmangel zum Teil mit Hyperaktivität - und keiner erkennt den Zusammenhang. Medizinerin Barbara Schneider erklärt, worauf Eltern achten sollten.";"Fehldiagnose bei Hyperaktivität";"2020-02-04 23:19:45";"default";TRUE;"no451_highlight_plus_2020-02-04H23-19-45.png"
"https://www.spiegel.de/psychologie/tanz-der-molekuele-a-00000000-0002-0001-0000-000169338926";"highlight";"Warum es so anstrengend ist, hochsensibel zu sein";"Nein, Melanie Enge ist nicht neurotisch und nicht arrogant. Sondern eine hochsensible Person. Porträt einer einfühlsamen und manchmal vom Leben überforderten Frau.";"Begabung oder Einschränkung?";"2020-03-09 17:55:00";"default";TRUE;"no452_highlight_plus_2020-03-09H17-55-00.png"
