"Article ID (evar50)","Multi Variate Value 1","Unique Visitors"
"00000000-0002-0001-0000-000167507107","",9
"00000000-0002-0001-0000-000169338944","",22727
"00000000-0002-0001-0000-000169338944","social design award",296
"00000000-0002-0001-0000-000170716911","",10943
"00000000-0002-0001-0000-000170716911","bürgerkrieg in syrien",29882
"00000000-0002-0001-0000-000170716911","erdbeben in haiti 2010",29882
"00000000-0002-0001-0000-000170716911","flüchtlinge",29882
"00000000-0002-0001-0000-000170716911","hiv / aids",29882
"00000000-0002-0001-0000-000170716911","leben",29882
"00000000-0002-0001-0000-000170716911","tuberkulose",29882
"00000000-0002-0001-0000-000170716911","wege aus der krise",29882
"00000000-0002-0001-0000-000170854054","",10813
"00000000-0002-0001-0000-000170854054","bryan adams",28805
"00000000-0002-0001-0000-000170854054","jonathan meese",28805
"00000000-0002-0001-0000-000170854054","leben",28805
"00000000-0002-0001-0000-000170854054","reinhold messner",28805
"00000000-0002-0001-0000-000170854054","s - das stilmagazin des spiegel",28805
"00000000-0002-0001-0000-000170874361","",12311
"00000000-0002-0001-0000-000170874361","literatur",27266
"00000000-0002-0001-0000-000170874361","seuchen",27266
"00000000-0002-0001-0000-000170928469","",37797
"00000000-0002-0001-0000-000170928469","krieg",72242
"00000000-0002-0001-0000-000170928469","mittelalter",72242
"00000000-0002-0001-0000-000170928473","",54198
"00000000-0002-0001-0000-000170928480","",160223
"00000000-0002-0001-0000-000170928480","leben",1
"00000000-0002-0001-0000-000170928480","menschenskinder - die elternkolumne",1
"00000000-0002-0001-0000-000170928482","",33329
"00000000-0002-0001-0000-000170928488","",54269
"00000000-0002-0001-0000-000170928488","seuchen",104473
"00000000-0002-0001-0000-000170928490","",37687
"00000000-0002-0001-0000-000170928495","",21037
"00000000-0002-0001-0000-000170928496","",12549
"00000000-0002-0001-0000-000170928496","mittelalter",26365
"00000000-0002-0001-0000-000170928497","",41431
"00000000-0002-0001-0000-000170928497","mittelalter",80060
"00000000-0002-0001-0000-000170928501","",6830
"00000000-0002-0001-0000-000170928501","mittelalter",15871
"00000000-0002-0001-0000-000171616947","",26013
"00000000-0002-0001-0000-000171616955","",6983
"00000000-0002-0001-0000-000171616955","berlin",20101
"00000000-0002-0001-0000-000171616955","netflix",20101
"00000000-0002-0001-0000-000171616955","netflix: serien und filme",20101
"00000000-0002-0001-0000-000171724285","",10692
"00000000-0002-0001-0000-000171724291","",36745
"00000000-0002-0001-0000-000171773570","",1674
"00000000-0002-0001-0000-000171773570","arbeitsplatz schule",6044
"00000000-0002-0001-0000-000171773570","coronavirus",6044
"00000000-0002-0001-0000-000171773570","coronavirus: arbeit und wirtschaft",6044
"00000000-0002-0001-0000-000171773570","coronavirus: kollateralfragen",6044
"00000000-0002-0001-0000-000171773570","coronavirus: medizin",6044
"00000000-0002-0001-0000-000171773570","schule",6044
"00000000-0002-0001-0000-000171773574","",7267
"00000000-0002-0001-0000-000171773574","""fridays for future""",18397
"00000000-0002-0001-0000-000171773574","erderwärmung",18397
"00000000-0002-0001-0000-000171773574","klimapolitik",18397
"00000000-0002-0001-0000-000171773574","klimawandel",18397
"00000000-0002-0001-0000-000171773585","",4853
"00000000-0002-0001-0000-000171773585","buchrezensionen",13186
"00000000-0002-0001-0000-000171773585","literatur",13186
"00000000-0002-0001-0000-000171773585","stuttgart",13186
"00000000-0002-0001-0000-000171875081","",5539
"00000000-0002-0001-0000-000171875081","bundeswehr",20535
"00000000-0002-0001-0000-000171875081","rechtsextremismus",20535
"00000000-0002-0001-0000-000171875083","",36624
"00000000-0002-0001-0000-000171875083","clemens tÃ¶nnies",2
"00000000-0002-0001-0000-000171875083","clemens tönnies",221534
"00000000-0002-0001-0000-000171875083","coronavirus",221536
"00000000-0002-0001-0000-000171875083","tÃ¶nnies holding",2
"00000000-0002-0001-0000-000171875083","tönnies holding",221534
"00000000-0002-0001-0000-000171875084","",1687
"00000000-0002-0001-0000-000171875084","annegret kramp-karrenbauer",3701
"00000000-0002-0001-0000-000171875084","attentat vom 20. juli 1944",3701
"00000000-0002-0001-0000-000171875084","bundeswehr",3701
"00000000-0002-0001-0000-000171875084","claus schenk von stauffenberg",3701
"00000000-0002-0001-0000-000171875085","",19845
"00000000-0002-0001-0000-000171875085","coronavirus: arbeit und wirtschaft",29371
"00000000-0002-0001-0000-000171875085","eltern",29371
"00000000-0002-0001-0000-000171875085","meinung",6939
"00000000-0002-0001-0000-000171875086","",23805
"00000000-0002-0001-0000-000171875086","aktenzeichen xy ... ungelöst",62374
"00000000-0002-0001-0000-000171875086","kriminalität",62374
"00000000-0002-0001-0000-000171875086","madeleine mccann",62374
"00000000-0002-0001-0000-000171875086","sexueller missbrauch von kindern",62374
"00000000-0002-0001-0000-000171875088","",28204
"00000000-0002-0001-0000-000171875088","alternative für deutschland (afd)",48872
"00000000-0002-0001-0000-000171875088","npd",48872
"00000000-0002-0001-0000-000171875088","rechtsextremismus",48872
"00000000-0002-0001-0000-000171875088","sachsen-anhalt",48872
"00000000-0002-0001-0000-000171875089","",83
"00000000-0002-0001-0000-000171875089","diesel",213
"00000000-0002-0001-0000-000171875089","diesel-fahrverbote",213
"00000000-0002-0001-0000-000171875089","fdp",213
"00000000-0002-0001-0000-000171875089","schleswig-holstein",213
"00000000-0002-0001-0000-000171875091","",35422
"00000000-0002-0001-0000-000171875091","drogen",48272
"00000000-0002-0001-0000-000171875091","kriminalität",48272
"00000000-0002-0001-0000-000171875091","rechtsextremismus",48272
"00000000-0002-0001-0000-000171875091","terrorismus",48272
"00000000-0002-0001-0000-000171875097","",30095
"00000000-0002-0001-0000-000171875097","bundesgesundheitsministerium",83712
"00000000-0002-0001-0000-000171875097","cdu",83712
"00000000-0002-0001-0000-000171875097","jens spahn",83712
"00000000-0002-0001-0000-000171875098","",30120
"00000000-0002-0001-0000-000171875098","armin laschet",99114
"00000000-0002-0001-0000-000171875098","cdu",99114
"00000000-0002-0001-0000-000171875098","clemens tönnies",99114
"00000000-0002-0001-0000-000171875098","tönnies holding",99114
"00000000-0002-0001-0000-000171875099","",45430
"00000000-0002-0001-0000-000171875099","norbert walter-borjans",118326
"00000000-0002-0001-0000-000171875099","saskia esken",118326
"00000000-0002-0001-0000-000171875099","spd",118326
"00000000-0002-0001-0000-000171875100","",35708
"00000000-0002-0001-0000-000171875100","coronavirus",108627
"00000000-0002-0001-0000-000171875100","coronavirus: reisen",108627
"00000000-0002-0001-0000-000171875100","türkei",108627
"00000000-0002-0001-0000-000171875101","",13638
"00000000-0002-0001-0000-000171875101","cdu",36016
"00000000-0002-0001-0000-000171875101","csu",36016
"00000000-0002-0001-0000-000171875101","oman",36016
"00000000-0002-0001-0000-000171875102","",53180
"00000000-0002-0001-0000-000171875102","alexander falk",117237
"00000000-0002-0001-0000-000171875102","strafvollzug",117237
"00000000-0002-0001-0000-000171875103","",2481
"00000000-0002-0001-0000-000171875103","gewalt gegen frauen",8371
"00000000-0002-0001-0000-000171875104","",19000
"00000000-0002-0001-0000-000171875105","",7219
"00000000-0002-0001-0000-000171875105","fremdenfeindlichkeit",15816
"00000000-0002-0001-0000-000171875105","polizei",15816
"00000000-0002-0001-0000-000171875105","rassismus",15816
"00000000-0002-0001-0000-000171875106","",17906
"00000000-0002-0001-0000-000171875106","depressionen",85486
"00000000-0002-0001-0000-000171875106","psychotherapie",85486
"00000000-0002-0001-0000-000171875107","",22958
"00000000-0002-0001-0000-000171875110","",3776
"00000000-0002-0001-0000-000171875111","",4394
"00000000-0002-0001-0000-000171875111","braunkohle",11086
"00000000-0002-0001-0000-000171875111","lausitz",11086
"00000000-0002-0001-0000-000171875112","",60355
"00000000-0002-0001-0000-000171875112","""nationalsozialistischer untergrund"" (nsu)",118438
"00000000-0002-0001-0000-000171875112","kriminalität",118438
"00000000-0002-0001-0000-000171875113","",35944
"00000000-0002-0001-0000-000171875113","banken",84671
"00000000-0002-0001-0000-000171875113","coronavirus: arbeit und wirtschaft",84671
"00000000-0002-0001-0000-000171875113","konjunktur",84671
"00000000-0002-0001-0000-000171875118","",20582
"00000000-0002-0001-0000-000171875118","coronavirus",59452
"00000000-0002-0001-0000-000171875118","mittelstand",59452
"00000000-0002-0001-0000-000171875118","wirtschaftspolitik",59452
"00000000-0002-0001-0000-000171875119","",54846
"00000000-0002-0001-0000-000171875119","finanzen",156395
"00000000-0002-0001-0000-000171875119","wirecard",156395
"00000000-0002-0001-0000-000171875120","",4864
"00000000-0002-0001-0000-000171875120","glücksspiel",14374
"00000000-0002-0001-0000-000171875123","",7690
"00000000-0002-0001-0000-000171875123","coronavirus: arbeit und wirtschaft",16217
"00000000-0002-0001-0000-000171875123","gesundheitssystem der usa",16217
"00000000-0002-0001-0000-000171875123","usa",16217
"00000000-0002-0001-0000-000171875123","wirtschaft in den usa",16217
"00000000-0002-0001-0000-000171875126","",2236
"00000000-0002-0001-0000-000171875126","hongkong",7189
"00000000-0002-0001-0000-000171875126","proteste in hongkong",7189
"00000000-0002-0001-0000-000171875126","volksrepublik china",7189
"00000000-0002-0001-0000-000171875128","",18540
"00000000-0002-0001-0000-000171875128","coronavirus",50647
"00000000-0002-0001-0000-000171875128","coronavirus: reisen",50647
"00000000-0002-0001-0000-000171875128","mallorca",50647
"00000000-0002-0001-0000-000171875128","tourismusbranche",50647
"00000000-0002-0001-0000-000171875129","",12052
"00000000-0002-0001-0000-000171875129","coronavirus: reisen",29477
"00000000-0002-0001-0000-000171875129","mallorca",29477
"00000000-0002-0001-0000-000171875130","",31619
"00000000-0002-0001-0000-000171875130","coronavirus",75099
"00000000-0002-0001-0000-000171875130","mallorca",75099
"00000000-0002-0001-0000-000171875130","meinung",74808
"00000000-0002-0001-0000-000171875130","reise",75099
"00000000-0002-0001-0000-000171875130","tourismusbranche",74727
"00000000-0002-0001-0000-000171875131","",84655
"00000000-0002-0001-0000-000171875131","donald trump",195272
"00000000-0002-0001-0000-000171875131","republikaner (usa)",195272
"00000000-0002-0001-0000-000171875131","us-präsidentschaftswahl 2020",195272
"00000000-0002-0001-0000-000171875131","usa",195272
"00000000-0002-0001-0000-000171875132","",16006
"00000000-0002-0001-0000-000171875132","opposition in russland",57855
"00000000-0002-0001-0000-000171875132","russland",57855
"00000000-0002-0001-0000-000171875132","wladimir putin",57855
"00000000-0002-0001-0000-000171875133","",4506
"00000000-0002-0001-0000-000171875133","coronavirus",14732
"00000000-0002-0001-0000-000171875133","eu-kommission",14732
"00000000-0002-0001-0000-000171875133","europäische union",14732
"00000000-0002-0001-0000-000171875133","jean-claude juncker",14732
"00000000-0002-0001-0000-000171875134","",13898
"00000000-0002-0001-0000-000171875134","architektur",33266
"00000000-0002-0001-0000-000171875134","frankreich",33266
"00000000-0002-0001-0000-000171875134","paris",33266
"00000000-0002-0001-0000-000171875137","",6478
"00000000-0002-0001-0000-000171875137","doping",28743
"00000000-0002-0001-0000-000171875137","olympia",28743
"00000000-0002-0001-0000-000171875137","olympia: winterspiele in sotschi 2014",28743
"00000000-0002-0001-0000-000171875137","sport",28743
"00000000-0002-0001-0000-000171875138","",34882
"00000000-0002-0001-0000-000171875138","fußball-bundesliga",74489
"00000000-0002-0001-0000-000171875138","schalke 04",74489
"00000000-0002-0001-0000-000171875144","",72129
"00000000-0002-0001-0000-000171875144","coronavirus",305053
"00000000-0002-0001-0000-000171875145","",72923
"00000000-0002-0001-0000-000171875145","brasilien",177659
"00000000-0002-0001-0000-000171875145","coronavirus",177659
"00000000-0002-0001-0000-000171875145","europa",177659
"00000000-0002-0001-0000-000171875145","influenza",177659
"00000000-0002-0001-0000-000171875145","usa",177659
"00000000-0002-0001-0000-000171875145","weltgesundheitsorganisation who",177659
"00000000-0002-0001-0000-000171875146","",52040
"00000000-0002-0001-0000-000171875146","gefährliches spielzeug",109090
"00000000-0002-0001-0000-000171875146","spielzeug",109090
"00000000-0002-0001-0000-000171875147","",16847
"00000000-0002-0001-0000-000171875147","afrika",45651
"00000000-0002-0001-0000-000171875147","tansania",45651
"00000000-0002-0001-0000-000171875154","",5803
"00000000-0002-0001-0000-000171875155","",4354
"00000000-0002-0001-0000-000171875155","fotografie",12178
"00000000-0002-0001-0000-000171875158","",8737
"00000000-0002-0001-0000-000171875158","film",20415
"00000000-0002-0001-0000-000171875158","hollywood",20415
"00000000-0002-0001-0000-000171875158","kino",20415
"00000000-0002-0001-0000-000171973694","",2945
"00000000-0002-0001-0000-000171973694","angela merkel",7410
"00000000-0002-0001-0000-000171973694","annegret kramp-karrenbauer",7410
"00000000-0002-0001-0000-000171973694","cdu",7410
"00000000-0002-0001-0000-000171973694","frauen in der politik",7410
"00000000-0002-0001-0000-000171973694","frauen und karriere",7410
"00000000-0002-0001-0000-000171973694","gleichstellung von frauen",7410
"00000000-0002-0001-0000-000171973694","meinung",3804
"00000000-0002-0001-0000-000171973694","ursula von der leyen",7410
"00000000-0002-0001-0000-000171973695","",51749
"00000000-0002-0001-0000-000171973695","angela merkel",181696
"00000000-0002-0001-0000-000171973695","bayern",181696
"00000000-0002-0001-0000-000171973695","csu",181696
"00000000-0002-0001-0000-000171973695","markus söder",181696
"00000000-0002-0001-0000-000171973695","spiegel+ hausmitteilung",165984
"00000000-0002-0001-0000-000171973698","",8654
"00000000-0002-0001-0000-000171973698","bundesinnenministerium",12539
"00000000-0002-0001-0000-000171973698","flüchtlinge",12539
"00000000-0002-0001-0000-000171973698","horst seehofer",12539
"00000000-0002-0001-0000-000171973699","",46591
"00000000-0002-0001-0000-000171973699","andreas scheuer",33646
"00000000-0002-0001-0000-000171973699","csu",33646
"00000000-0002-0001-0000-000171973699","meinung",33646
"00000000-0002-0001-0000-000171973699","verkehrsministerium",33646
"00000000-0002-0001-0000-000171973705","",28381
"00000000-0002-0001-0000-000171973705","alternative für deutschland (afd)",58406
"00000000-0002-0001-0000-000171973705","bundeswehr",58406
"00000000-0002-0001-0000-000171973707","",9493
"00000000-0002-0001-0000-000171973707","antisemitismus",14270
"00000000-0002-0001-0000-000171973707","halle (saale)",14270
"00000000-0002-0001-0000-000171973707","rassismus",14270
"00000000-0002-0001-0000-000171973707","rechtsextremismus",14270
"00000000-0002-0001-0000-000171973709","",27267
"00000000-0002-0001-0000-000171973710","",9929
"00000000-0002-0001-0000-000171973710","bundeswehr",24377
"00000000-0002-0001-0000-000171973710","rechtsextremismus",24377
"00000000-0002-0001-0000-000171973711","",4787
"00000000-0002-0001-0000-000171973711","bundesländer",14710
"00000000-0002-0001-0000-000171973711","coronavirus",14710
"00000000-0002-0001-0000-000171973711","coronavirus: arbeit und wirtschaft",14710
"00000000-0002-0001-0000-000171973712","",6710
"00000000-0002-0001-0000-000171973712","alexander graf lambsdorff",13137
"00000000-0002-0001-0000-000171973712","annegret kramp-karrenbauer",13137
"00000000-0002-0001-0000-000171973712","belarus",53
"00000000-0002-0001-0000-000171973712","cem Özdemir",13137
"00000000-0002-0001-0000-000171973712","coronavirus: psychologie",13137
"00000000-0002-0001-0000-000171973712","frankreich-reisen",13137
"00000000-0002-0001-0000-000171973712","gregor gysi",13137
"00000000-0002-0001-0000-000171973712","katrin göring-eckardt",13137
"00000000-0002-0001-0000-000171973712","kenia-reisen",13137
"00000000-0002-0001-0000-000171973712","manuela schwesig",13137
"00000000-0002-0001-0000-000171973712","mecklenburg-vorpommern",13137
"00000000-0002-0001-0000-000171973712","monika grütters",13137
"00000000-0002-0001-0000-000171973712","reise",13137
"00000000-0002-0001-0000-000171973712","sigmar gabriel",13137
"00000000-0002-0001-0000-000171973712","südsudan",13137
"00000000-0002-0001-0000-000171973712","türkei-reisen",13137
"00000000-0002-0001-0000-000171973712","urlaub und freizeit",13137
"00000000-0002-0001-0000-000171973712","usa-reisen",13137
"00000000-0002-0001-0000-000171973712","weißrussland",13088
"00000000-0002-0001-0000-000171973713","",8451
"00000000-0002-0001-0000-000171973713","angela merkel",22625
"00000000-0002-0001-0000-000171973713","coronavirus",22625
"00000000-0002-0001-0000-000171973713","europäische union",22625
"00000000-0002-0001-0000-000171973715","",21830
"00000000-0002-0001-0000-000171973715","erderwärmung",54418
"00000000-0002-0001-0000-000171973715","hans joachim schellnhuber",54418
"00000000-0002-0001-0000-000171973715","klimapolitik",54418
"00000000-0002-0001-0000-000171973715","klimawandel",54418
"00000000-0002-0001-0000-000171973716","",4129
"00000000-0002-0001-0000-000171973716","bnd",10192
"00000000-0002-0001-0000-000171973716","christine lambrecht",10192
"00000000-0002-0001-0000-000171973716","computersicherheit",10192
"00000000-0002-0001-0000-000171973716","hacker",10192
"00000000-0002-0001-0000-000171973716","internetkriminalität",10192
"00000000-0002-0001-0000-000171973716","saskia esken",10192
"00000000-0002-0001-0000-000171973716","spd",10192
"00000000-0002-0001-0000-000171973717","",13319
"00000000-0002-0001-0000-000171973717","ekd",34114
"00000000-0002-0001-0000-000171973717","kirche",34114
"00000000-0002-0001-0000-000171973717","sexueller missbrauch von kindern",34114
"00000000-0002-0001-0000-000171973718","",37680
"00000000-0002-0001-0000-000171973718","psychiatrie",81302
"00000000-0002-0001-0000-000171973719","",23447
"00000000-0002-0001-0000-000171973719","ddr",56943
"00000000-0002-0001-0000-000171973719","erich honecker",56943
"00000000-0002-0001-0000-000171973722","",35781
"00000000-0002-0001-0000-000171973722","großbritannien",82985
"00000000-0002-0001-0000-000171973723","",22614
"00000000-0002-0001-0000-000171973723","asylrecht in deutschland",63936
"00000000-0002-0001-0000-000171973723","flüchtlinge",63936
"00000000-0002-0001-0000-000171973723","integration",63936
"00000000-0002-0001-0000-000171973724","",3053
"00000000-0002-0001-0000-000171973724","ddr",8660
"00000000-0002-0001-0000-000171973724","deutsche einheit",8660
"00000000-0002-0001-0000-000171973724","deutsche wiedervereinigung",8660
"00000000-0002-0001-0000-000171973724","meinung",2903
"00000000-0002-0001-0000-000171973724","sed",8660
"00000000-0002-0001-0000-000171973724","stasi",8660
"00000000-0002-0001-0000-000171973727","",22819
"00000000-0002-0001-0000-000171973727","branche gesundheitsberufe",96815
"00000000-0002-0001-0000-000171973727","coronavirus",96815
"00000000-0002-0001-0000-000171973727","coronavirus: arbeit und wirtschaft",96815
"00000000-0002-0001-0000-000171973727","coronavirus: medizin",96815
"00000000-0002-0001-0000-000171973727","pflege",96815
"00000000-0002-0001-0000-000171973729","",19381
"00000000-0002-0001-0000-000171973729","energiewende",45946
"00000000-0002-0001-0000-000171973729","erneuerbare energien",45946
"00000000-0002-0001-0000-000171973729","windenergie",45946
"00000000-0002-0001-0000-000171973729","Ökostrom",45946
"00000000-0002-0001-0000-000171973730","",55150
"00000000-0002-0001-0000-000171973730","amazon",167646
"00000000-0002-0001-0000-000171973730","jeff bezos",167646
"00000000-0002-0001-0000-000171973730","spiegel+ hausmitteilung",167646
"00000000-0002-0001-0000-000171973731","",10843
"00000000-0002-0001-0000-000171973731","bÃ¶rse",4
"00000000-0002-0001-0000-000171973731","börse",26929
"00000000-0002-0001-0000-000171973731","dax",26932
"00000000-0002-0001-0000-000171973731","finanzberufe",26932
"00000000-0002-0001-0000-000171973731","geldwÃ¤sche",4
"00000000-0002-0001-0000-000171973731","geldwäsche",26929
"00000000-0002-0001-0000-000171973731","skandale",26932
"00000000-0002-0001-0000-000171973731","wirecard",26932
"00000000-0002-0001-0000-000171973731","wirtschaft",26932
"00000000-0002-0001-0000-000171973732","",9911
"00000000-0002-0001-0000-000171973732","clemens fuest",29529
"00000000-0002-0001-0000-000171973732","coronavirus",29529
"00000000-0002-0001-0000-000171973732","coronavirus: arbeit und wirtschaft",29529
"00000000-0002-0001-0000-000171973733","",14541
"00000000-0002-0001-0000-000171973733","hartz iv",37164
"00000000-0002-0001-0000-000171973739","",17823
"00000000-0002-0001-0000-000171973739","arabischer frühling",43395
"00000000-0002-0001-0000-000171973739","bürgerkrieg in libyen",43395
"00000000-0002-0001-0000-000171973739","bürgerkrieg in syrien",43395
"00000000-0002-0001-0000-000171973739","grenzkonflikt zwischen syrien und der türkei",43395
"00000000-0002-0001-0000-000171973739","libyen",43395
"00000000-0002-0001-0000-000171973739","söldner",43395
"00000000-0002-0001-0000-000171973740","",3470
"00000000-0002-0001-0000-000171973740","hongkong",22870
"00000000-0002-0001-0000-000171973740","meinung",6193
"00000000-0002-0001-0000-000171973740","proteste in hongkong",22870
"00000000-0002-0001-0000-000171973740","volksrepublik china",22870
"00000000-0002-0001-0000-000171973741","",53886
"00000000-0002-0001-0000-000171973741","donald trump",125574
"00000000-0002-0001-0000-000171973741","joe biden",125574
"00000000-0002-0001-0000-000171973741","republikaner (usa)",125574
"00000000-0002-0001-0000-000171973741","us-präsidentschaftswahl 2020",125574
"00000000-0002-0001-0000-000171973743","",8578
"00000000-0002-0001-0000-000171973743","adoption",19666
"00000000-0002-0001-0000-000171973743","südkorea",19666
"00000000-0002-0001-0000-000171973746","",9558
"00000000-0002-0001-0000-000171973746","arminia bielefeld",26462
"00000000-0002-0001-0000-000171973746","bayern münchen",26462
"00000000-0002-0001-0000-000171973746","berlin",26462
"00000000-0002-0001-0000-000171973746","kevin kühnert",26462
"00000000-0002-0001-0000-000171973746","spd",26462
"00000000-0002-0001-0000-000171973747","",7603
"00000000-0002-0001-0000-000171973747","boxen",18452
"00000000-0002-0001-0000-000171973753","",19644
"00000000-0002-0001-0000-000171973753","affen",33982
"00000000-0002-0001-0000-000171973753","anthropologie",33982
"00000000-0002-0001-0000-000171973753","evolution",33982
"00000000-0002-0001-0000-000171973753","primaten",33982
"00000000-0002-0001-0000-000171973754","",39607
"00000000-0002-0001-0000-000171973754","darm",112369
"00000000-0002-0001-0000-000171973754","ernährung",112369
"00000000-0002-0001-0000-000171973754","gesunde ernährung",112369
"00000000-0002-0001-0000-000171973754","magen-darm-erkrankungen",112369
"00000000-0002-0001-0000-000171973755","",21389
"00000000-0002-0001-0000-000171973755","coronavirus",55422
"00000000-0002-0001-0000-000171973755","coronavirus: medizin",55422
"00000000-0002-0001-0000-000171973755","kindergesundheit",55422
"00000000-0002-0001-0000-000171973756","",40261
"00000000-0002-0001-0000-000171973756","albert einstein",155271
"00000000-0002-0001-0000-000171973756","physik",155271
"00000000-0002-0001-0000-000171973756","spiegel+ hausmitteilung",155271
"00000000-0002-0001-0000-000171973762","",11003
"00000000-0002-0001-0000-000171973762","black lives matter",28812
"00000000-0002-0001-0000-000171973762","donald trump",28812
"00000000-0002-0001-0000-000171973762","rassismus",28812
"00000000-0002-0001-0000-000171973762","us-präsidentschaftswahl 2020",28812
"00000000-0002-0001-0000-000171973762","usa",28812
"00000000-0002-0001-0000-000171973763","",13288
"00000000-0002-0001-0000-000171973763","daniel kehlmann",31915
"00000000-0002-0001-0000-000171973763","rassismus",31915
"00000000-0002-0001-0000-000171973764","",16014
"00000000-0002-0001-0000-000171973764","film",43085
"00000000-0002-0001-0000-000171973764","kino",43085
"00000000-0002-0001-0000-000171973766","",8203
"00000000-0002-0001-0000-000171973766","modemacher",24024
"00000000-0002-0001-0000-000171973766","wie viel wollen wir arbeiten?",24024
"00000000-0002-0001-0000-000171973766","youtube",24024
"00000000-0002-0001-0000-000171973769","",11627
"00000000-0002-0001-0000-000171973769","australien",24876
"00000000-0002-0001-0000-000171973769","cate blanchett",24876
"00000000-0002-0001-0000-000171973769","flüchtlinge",24876
"00000000-0002-0001-0000-000171973769","netflix",24876
"00000000-0002-0001-0000-000171973769","netflix: serien und filme",24876
"00000000-0002-0001-0000-000172059695","",6537
"00000000-0002-0001-0000-000172059696","",15938
"00000000-0002-0001-0000-000172059698","",32695
"00000000-0002-0001-0000-000172059699","",4599
"00000000-0002-0001-0000-000172059703","",12981
"00000000-0002-0001-0000-000172071794","",36956
"00000000-0002-0001-0000-000172071794","europäische union",101258
"00000000-0002-0001-0000-000172071794","polen",101258
"00000000-0002-0001-0000-000172071794","tschechien",101258
"00000000-0002-0001-0000-000172071794","ungarn",101258
"00000000-0002-0001-0000-000172071794","viktor orbán",101258
"00000000-0002-0001-0000-000172071795","",16481
"00000000-0002-0001-0000-000172071795","jan marsalek",1313
"00000000-0002-0001-0000-000172071795","skandale",135550
"00000000-0002-0001-0000-000172071795","spiegel+ hausmitteilung",135550
"00000000-0002-0001-0000-000172071795","wirecard",135550
"00000000-0002-0001-0000-000172071798","",1703
"00000000-0002-0001-0000-000172071798","bundeswehr",2413
"00000000-0002-0001-0000-000172071798","eva högl",2413
"00000000-0002-0001-0000-000172071798","johannes kahrs",2413
"00000000-0002-0001-0000-000172071799","",83539
"00000000-0002-0001-0000-000172071799","abwrackprämie",255696
"00000000-0002-0001-0000-000172071799","meinung",245991
"00000000-0002-0001-0000-000172071800","",716
"00000000-0002-0001-0000-000172071800","apple",1418
"00000000-0002-0001-0000-000172071800","die linke",1418
"00000000-0002-0001-0000-000172071800","olaf scholz",1418
"00000000-0002-0001-0000-000172071800","spd",1418
"00000000-0002-0001-0000-000172071802","",24172
"00000000-0002-0001-0000-000172071802","annegret kramp-karrenbauer",52216
"00000000-0002-0001-0000-000172071802","bundeswehr",52216
"00000000-0002-0001-0000-000172071802","heckler & koch",52216
"00000000-0002-0001-0000-000172071806","",1994
"00000000-0002-0001-0000-000172071806","coronavirus",5462
"00000000-0002-0001-0000-000172071806","kita",5462
"00000000-0002-0001-0000-000172071806","leben",5462
"00000000-0002-0001-0000-000172071810","",56160
"00000000-0002-0001-0000-000172071810","missbrauchsfall in lügde",94654
"00000000-0002-0001-0000-000172071811","",6376
"00000000-0002-0001-0000-000172071811","anja karliczek",19301
"00000000-0002-0001-0000-000172071811","bundesregierung",19301
"00000000-0002-0001-0000-000172071811","christine lambrecht",19301
"00000000-0002-0001-0000-000172071811","franziska giffey",19301
"00000000-0002-0001-0000-000172071811","frauen in der politik",19301
"00000000-0002-0001-0000-000172071811","gleichstellung von frauen",19301
"00000000-0002-0001-0000-000172071811","julia klöckner",19301
"00000000-0002-0001-0000-000172071811","rita süssmuth",19301
"00000000-0002-0001-0000-000172071811","svenja schulze",19301
"00000000-0002-0001-0000-000172071812","",3619
"00000000-0002-0001-0000-000172071812","coronavirus",8877
"00000000-0002-0001-0000-000172071812","meinung",8433
"00000000-0002-0001-0000-000172071812","männer und frauen",8877
"00000000-0002-0001-0000-000172071813","",3349
"00000000-0002-0001-0000-000172071813","angela merkel",8947
"00000000-0002-0001-0000-000172071813","europäische union",8947
"00000000-0002-0001-0000-000172071814","",3415
"00000000-0002-0001-0000-000172071814","annegret kramp-karrenbauer",10271
"00000000-0002-0001-0000-000172071814","bundeswehr",10271
"00000000-0002-0001-0000-000172071814","verteidigungsministerium",10271
"00000000-0002-0001-0000-000172071815","",1606
"00000000-0002-0001-0000-000172071815","horst seehofer",5264
"00000000-0002-0001-0000-000172071815","polizei",5264
"00000000-0002-0001-0000-000172071815","rassismus",5264
"00000000-0002-0001-0000-000172071816","",8454
"00000000-0002-0001-0000-000172071816","auto",18530
"00000000-0002-0001-0000-000172071816","straßenverkehr",18530
"00000000-0002-0001-0000-000172071817","",26116
"00000000-0002-0001-0000-000172071818","",47679
"00000000-0002-0001-0000-000172071818","bürgerkrieg in syrien",137601
"00000000-0002-0001-0000-000172071818","flüchtlinge",137601
"00000000-0002-0001-0000-000172071818","flüchtlingsporträts",137601
"00000000-0002-0001-0000-000172071818","syrien",137601
"00000000-0002-0001-0000-000172071819","",80168
"00000000-0002-0001-0000-000172071819","polizei",158563
"00000000-0002-0001-0000-000172071820","",6125
"00000000-0002-0001-0000-000172071820","rinder",12473
"00000000-0002-0001-0000-000172071820","social media",12473
"00000000-0002-0001-0000-000172071821","",53822
"00000000-0002-0001-0000-000172071821","islam",143829
"00000000-0002-0001-0000-000172071821","moscheen in deutschland",143829
"00000000-0002-0001-0000-000172071824","",41283
"00000000-0002-0001-0000-000172071824","amazon",98928
"00000000-0002-0001-0000-000172071824","computersicherheit",98928
