"ArticleUrl";"Type";"Title";"Intro";"Heading";"PublishDate";"Style";"IsPlus";"filename"
"https://www.spiegel.de/stil/rezept-fuer-hirten-tabouleh-a-fe1d6595-c51c-40f6-8782-6496f2b01cea";"highlight";"Heute gibt es Hirten-Tabouleh";"Sie wollen heute grillen? Dann hat unsere Köchin Verena Lugert ein einfaches und raffiniertes Rezept für Sie: Ihre Tabouleh-Variante schmeckt sehr gut zu Fleisch - aber auch ohne.";"Nervennahrung";2020-05-19 07:58:01;"default";FALSE;"no130_highlight_free_2020-05-19H07-58-01.png"
"https://www.spiegel.de/gesundheit/schwangerschaft/kaiserschnitt-leitlinie-aerzte-veroeffentlichten-entscheidungshilfe-a-493a8db9-9470-48bf-b20b-8244291289ad";"highlight";"Wann ein Kaiserschnitt sinnvoll ist";"Tausende Frauen bekommen ihr Kind jährlich per Kaiserschnitt - dabei wäre der Eingriff medizinisch oft gar nicht notwendig. Eine ärztliche Entscheidungshilfe soll nun Klarheit schaffen.";"Neue Leitlinie";2020-06-13 16:53:32;"default";FALSE;"no131_highlight_free_2020-06-13H16-53-32.png"
"https://www.spiegel.de/stil/rezept-fuer-shakshuka-a-8cb310c4-b0f4-440f-be50-d9a7599f385b";"highlight";"Heute gibt es Shakshuka";"Die Kita hat zu, die Kantine ist geschlossen? Da hilft nur eins: selbst kochen. Aber bitte schnell und einfach. Und trotzdem besonders. Die Köchin Verena Lugert hat ein echtes Wohlfühlrezept.";"Nervennahrung";2020-05-14 08:36:11;"default";FALSE;"no132_highlight_free_2020-05-14H08-36-11.png"
"https://www.spiegel.de/reise/mallorca-deutsche-urlauber-nach-der-corona-krise-auf-den-balearen-a-6f9d95dd-ac26-42c2-bed0-6c6b5d2ec1f2";"highlight";"\"\"36,1 Grad. Guten Appetit!\"\"";"Die Balearen sind die Ersten, die deutsche Urlauber empfangen. Sicher soll die Reise per Flugzeug und Hotel trotz Corona werden, das wollen Mallorca und TUI an Testreisenden demonstrieren. Der Premierentag.";"Erste Urlauber auf Mallorca";2020-06-16 06:51:31;"default";FALSE;"no133_highlight_free_2020-06-16H06-51-31.png"
"https://www.spiegel.de/kultur/literatur/der-rote-faden-von-rosie-price-in-der-kritik-ein-buch-wie-eine-fernsehserie-a-03085116-04ce-4c7e-9167-cbb255c5bed1";"news";"Ein Roman wie ein TV-Epos";"Kate ist jung, ohne Argwohn und Angst. Als ein Bekannter sie vergewaltigt, durchzieht das Trauma fortan ihr Leben. Die Autorin Rosie Price hat einen furiosen Roman über sexuelle Gewalt geschrieben.";"\"\"Der rote Faden\"\"";2020-07-10 13:23:54;"default";FALSE;"no134_news_free_2020-07-10H13-23-54.png"
"https://www.spiegel.de/kultur/gemeinsam-runter-vom-sockel-a-40f842fd-9d79-4e51-be15-30afdb651f1c";"opinion";"Gemeinsam runter vom Sockel";"Wir sollten unsere rassistische Geschichte kennen und aus ihr lernen - darin sind sich die meisten einig. Aber warum meinen manche, dass gerade deshalb alles beim Alten und jede Kolonialstatue stehen bleiben sollte?";"Anti-Rassismus-Aktionen";2020-06-16 12:03:38;"default";FALSE;"no135_opinion_free_2020-06-16H12-03-38.png"
"https://www.spiegel.de/stil/rezept-fuer-paella-a-e1be20d1-3d3b-4c7a-a99a-de657668417e";"highlight";"Am Wochenende gibt es Paella";"Was in eine Original-Paella gehört und was nicht, hat unsere Köchin Verena Lugert in Valencia gelernt. Sie empfiehlt trotzdem ihre ganz eigene Variante.";"Nervennahrung";2020-06-27 08:23:00;"default";FALSE;"no136_highlight_free_2020-06-27H08-23-00.png"
"https://www.spiegel.de/politik/deutschland/jens-spahn-besorgt-wegen-mallorca-aufpassen-dass-der-ballermann-nicht-ein-zweites-ischgl-wird-a-12ddb184-4b68-4b51-84f5-dd0ebb64f78d";"news";"\"\"Aufpassen, dass der Ballermann nicht ein zweites Ischgl wird\"\"";"Deutschland hat die Corona-Epidemie unter Kontrolle - doch die beginnende Urlaubszeit birgt Risiken. Gesundheitsminister Spahn zeigt sich angesichts der Bilder vom Wochenende auf Mallorca besorgt.";"Gesundheitsminister Spahn";2020-07-13 08:31:23;"default";FALSE;"no137_news_free_2020-07-13H08-31-23.png"
"https://www.spiegel.de/reise/fernweh/corona-und-in-australien-gestrandet-bitte-adoptiert-mich-ich-bin-backpacker-a-7a48ac5f-47d6-43c4-8703-7265465c477d";"highlight";"Bitte adoptiert mich, ich bin Backpacker!";"No work, no travel: Corona stoppte das Australien-Abenteuer Zehntausender Backpacker. Doch wie weitermachen und vor allem: wie unterkommen? Ein junges Paar hilft mit einer Facebook-Seite.";"In Australien gestrandet";2020-06-25 03:43:10;"default";FALSE;"no138_highlight_free_2020-06-25H03-43-10.png"
"https://www.spiegel.de/stil/biologische-bodenerneuerung-mit-tagetes-a-6b727a86-9335-4728-a1d2-636d1f51188a";"highlight";"Wie man sein Rosenbeet wieder fit macht";"Um seinen Gartenboden biologisch zu erneuern, braucht man viele Tagetespflanzen - und noch mehr Geduld. Eine gute Übung in diesen Zeiten.";"Der Wurm drin - die Gartenkolumne";2020-05-23 18:44:18;"default";FALSE;"no139_highlight_free_2020-05-23H18-44-18.png"
